Station,Point_Location_Description,Parameter,Unit_of_Measure,STORET_Number,Sample_Collection_Date_and_Time,Measured_Value,Data_Qualifier_Code,Sample_Type,MDL,PQL,Method_Description,Matrix,Major_Class_Description,Minor_Class_Description,Sample_Collection_Organization,Vendor_name,Sample_Comments,Analyte_Comments
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,8/4/1987 13:00,75,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,8/4/1987 13:00,19,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,10/6/1987 13:35,33,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,10/6/1987 13:35,10,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,11/30/1987 13:20,28,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,11/30/1987 13:20,8.4,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,2/2/1988 12:45,17,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,2/2/1988 12:45,5.2,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,4/26/1988 13:10,46,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,4/26/1988 13:10,13,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,6/29/1988 14:20,48,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,6/29/1988 14:20,13,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,8/3/1988 9:20,59,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,8/3/1988 9:20,5.7,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,10/5/1988 14:00,50,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,10/5/1988 14:00,8.9,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,12/7/1988 13:00,57,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,12/7/1988 13:00,7.4,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,2/1/1989 13:10,39,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,2/1/1989 13:10,8.700001,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,3/29/1989 12:55,53,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,3/29/1989 12:55,6.4,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,8/16/1989 13:15,44,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,8/16/1989 13:15,5.1,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,10/19/1989 11:30,18,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,10/19/1989 11:30,13,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,12/6/1989 13:20,12,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,12/6/1989 13:20,3.6,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,2/6/1990 13:10,12,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,2/6/1990 13:10,6.2,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,4/4/1990 12:30,8,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,4/4/1990 12:30,4.9,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,6/7/1990 14:10,22,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,6/7/1990 14:10,8.1,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,10/16/1990 13:20,286,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,10/16/1990 13:20,15,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,12/4/1990 12:20,69,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,12/4/1990 12:20,5.6,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,2/28/1991 12:50,96,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,2/28/1991 12:50,4.5,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Secchi,m,78,5/2/1991 13:50,0.5,,GRAB,,,OTHER/UNKNOWN,FIELD DATA,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,5/2/1991 13:50,24,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,5/2/1991 13:50,10,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Secchi,m,78,7/10/1991 13:45,0.75,,GRAB,,,OTHER/UNKNOWN,FIELD DATA,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,7/10/1991 13:45,20,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,7/10/1991 13:45,8.9,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Secchi,m,78,9/17/1991 12:55,0.8,,GRAB,,,OTHER/UNKNOWN,FIELD DATA,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,9/17/1991 12:55,25,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,9/17/1991 12:55,11,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Secchi,m,78,11/12/1991 12:40,1.3,,GRAB,,,OTHER/UNKNOWN,FIELD DATA,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,11/12/1991 12:40,18,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,11/12/1991 12:40,5.4,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,2/10/1992 15:30,18,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,2/10/1992 15:30,6.7,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,4/22/1992 12:30,94,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,4/22/1992 12:30,19,Q,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Secchi,m,78,6/17/1992 13:00,0.75,,GRAB,,,OTHER/UNKNOWN,FIELD DATA,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,6/17/1992 13:00,58,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,6/17/1992 13:00,9.6,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,8/17/1992 15:00,105,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,8/17/1992 15:00,16.8,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,8/17/1992 15:01,103,,DUP,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,8/17/1992 15:01,15.5,,DUP,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Secchi,m,78,9/22/1992 13:30,0.5,,GRAB,,,OTHER/UNKNOWN,FIELD DATA,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,9/22/1992 13:30,44,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,9/22/1992 13:30,9.799999,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Secchi,m,78,11/18/1992 13:30,1,,GRAB,,,OTHER/UNKNOWN,FIELD DATA,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,11/18/1992 13:30,48,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,11/18/1992 13:30,5.3,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,11/18/1992 13:31,46,,DUP,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,11/18/1992 13:31,5.9,,DUP,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Secchi,m,78,1/25/1993 15:20,0.8,,GRAB,,,OTHER/UNKNOWN,FIELD DATA,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,1/25/1993 15:20,41,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,1/25/1993 15:20,2.9,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,1/25/1993 15:21,42,,DUP,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,1/25/1993 15:21,2.6,,DUP,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Secchi,m,78,3/3/1993 11:00,1,,GRAB,,,OTHER/UNKNOWN,FIELD DATA,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,3/3/1993 11:00,49,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,3/3/1993 11:00,1.5,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,5/18/1993 15:00,41,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,5/18/1993 15:00,10.2,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,5/18/1993 15:01,51,,DUP,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,5/18/1993 15:01,11.6,,DUP,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,7/20/1993 13:05,108,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,7/20/1993 13:05,7.1,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,7/20/1993 13:06,62,,DUP,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,7/20/1993 13:06,5.9,,DUP,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Secchi,m,78,9/29/1993 15:10,1,,GRAB,,,OTHER/UNKNOWN,FIELD DATA,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,9/29/1993 15:10,26,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,9/29/1993 15:10,12.4,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Secchi,m,78,11/17/1993 13:55,0.8,,GRAB,,,OTHER/UNKNOWN,FIELD DATA,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,11/17/1993 13:55,1,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,11/17/1993 13:55,4.4,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
